Variable74OPEN,Variable74HIGH,Variable74LOW,Variable74LAST_PRICE,TargetVariable
12.80601178,13.00227249,12.80601178,12.97386634,1
12.97386634,13.02293152,12.97128396,12.97128396,1
12.95320731,12.96095445,12.90930689,12.93254829,1
12.95578969,12.98419585,12.92738353,12.92738353,1
12.92996591,12.93513067,12.90672451,12.92221878,0
12.92480116,12.92996591,12.89381262,12.9196364,1
12.90414213,12.94029542,12.86540647,12.86540647,0
12.87573598,12.88864787,12.82150604,12.82150604,0
12.81117653,12.81634129,12.75952897,12.79051751,0
12.79051751,12.79051751,12.74919946,12.74919946,0
12.74919946,12.80084702,12.74919946,12.80084702,0
12.80084702,12.88090073,12.80084702,12.88090073,1
12.89381262,12.92221878,12.89381262,12.91447165,1
12.91447165,12.94029542,12.91447165,12.94029542,1
12.94029542,12.95578969,12.91447165,12.91705402,1
12.92221878,12.92221878,12.90155976,12.91447165,1
12.91188927,12.97903109,12.91188927,12.97903109,1
12.97644871,12.99710774,12.94804256,12.94804256,1
12.95837207,12.9661192,12.95062494,12.96353682,1
12.96095445,12.96095445,12.92221878,12.92221878,1
12.92738353,12.95062494,12.92738353,12.93513067,1
12.93513067,12.93513067,12.88090073,12.88348311,1
12.88864787,12.92738353,12.88864787,12.92738353,1
12.93254829,12.93254829,12.88864787,12.89897738,1
12.90414213,12.90930689,12.896395,12.90155976,1
12.90414213,12.90414213,12.86282409,12.86282409,1
12.85765933,12.87057122,12.85765933,12.86798884,1
12.86540647,12.86540647,12.84732982,12.8499122,0
12.8499122,12.88864787,12.84732982,12.88864787,1
12.88348311,12.89897738,12.88348311,12.89381262,1
12.89897738,12.89897738,12.85765933,12.85765933,1
12.86024171,12.86024171,12.84216507,12.84732982,0
12.84732982,12.8499122,12.84474744,12.8499122,1
12.8499122,12.8499122,12.82408842,12.82408842,0
12.81892366,12.82150604,12.80084702,12.80601178,0
12.8034294,12.81117653,12.79309989,12.79309989,0
12.79568226,12.79826464,12.79309989,12.79826464,0
12.79568226,12.8266708,12.79568226,12.82408842,1
12.82408842,12.85249458,12.81375891,12.85249458,1
12.84474744,12.85765933,12.84474744,12.85249458,1
12.85249458,12.86282409,12.8499122,12.86024171,1
12.8499122,12.8731536,12.84474744,12.8731536,1
12.86798884,12.87057122,12.84732982,12.85249458,1
12.85507695,12.85507695,12.84474744,12.84474744,1
12.84474744,12.84474744,12.83441793,12.83441793,1
12.83958269,12.83958269,12.83441793,12.83441793,1
12.83441793,12.84216507,12.83441793,12.84216507,1
12.84216507,12.84216507,12.8266708,12.82925318,1
12.83183555,12.83441793,12.82150604,12.82408842,1
12.82408842,12.82408842,12.81634129,12.81634129,1
12.81634129,12.81634129,12.8034294,12.80601178,1
12.80601178,12.80601178,12.79051751,12.79051751,1
12.78793513,12.78793513,12.780188,12.78535275,1
12.78277037,12.78793513,12.76211135,12.76469373,1
12.75952897,12.76211135,12.74403471,12.74661709,1
12.74919946,12.74919946,12.74145233,12.74661709,1
12.74145233,12.74145233,12.73886995,12.73886995,1
12.73628757,12.73886995,12.72079331,12.72337568,1
